key,source,target
DC/Text_DesignData_ActionSkin_FlavorText_CupOfCoffeeRest,Unwind and enjoy the soothing pleasure of a perfect cup of coffee.,Розслабтеся і насолодіться заспокійливою насолодою від філіжанки досконалої кави.
DC/Text_DesignData_ActionSkin_FlavorText_HardEarnedAleRest,"Take a seat, drink deeply, and savor the fruits of your labor with the Tavern Master's own special brew, a strong, warming ale.","Сідайте зручніше, пийте з насолодою і смакуйте плоди своєї праці з особливим напоєм від господаря таверни - міцним, зігріваючим елем."
DC/Text_DesignData_ActionSkin_FlavorText_PuffingPipesRest,"The ancient practice of inhalation with a mixture of herbs, rumored to aid in the remedy of many aliments.","Старовинна практика інгаляцій із сумішшю трав, яка, за чутками, допомагає у лікуванні багатьох аліментарних захворювань."
DC/Text_DesignData_ActionSkin_FlavorText_SkeweredFoodRest,Roast a savory meal while you replenish your strength.,"Підсмажте смачну їжу, поки ви відновлюєте свої сили."
DC/Text_DesignData_ActionSkin_FlavorText_SleepingBagRest,"Delve into the depths of comfort, nestled up in the warmth of a sleeping bag.","Пориньте в глибини комфорту, загорнувшись у теплий спальний мішок."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightAdventurerCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ви стаєте маяком небесної сили, що позначає вас як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightMercurialCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightRadiantCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightSplendidCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightTatteredCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightVigilantCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_ArmorSkin_ArmorSkin_FlavorText_MoonlightWatchmanCloak,"Wrapped in the essence of the universe, you become a beacon of celestial power, marking you as a true champion.","Огорнутий сутністю всесвіту, ти стаєш маяком небесної сили, що позначає тебе як справжнього чемпіона."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_ElfMan,"An Elven warrior from the mystical, forbidden forest lands.","Ельфійський воїн з містичних, заборонених лісових земель."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_ElfWoman,"Embrace the Elven ways, where grace and agility stand as a testament to their ancient and mystical heritage.","Обійми ельфійські шляхи, де грація та спритність є свідченням їхньої давньої та містичної спадщини."
DC/Text_DesignData_CharacterSkin_CharacterSkin_FlavorText_EliteSkeleton,"Bones soaked in the blood of countless enemies, the walking embodiment of death.","Кістки, просочені кров'ю незліченних ворогів, ходяче втілення смерті."
