key,source,target
DC/Text_DesignData_Item_Item_AdventurerBoots_1001,Adventurer Boots,Черевики шукача пригод
DC/Text_DesignData_Item_Item_AdventurerBoots_2001,Adventurer Boots,Черевики шукача пригод
DC/Text_DesignData_Item_Item_AdventurerBoots_3001,Adventurer Boots,Черевики шукача пригод
DC/Text_DesignData_Item_Item_AdventurerBoots_4001,Adventurer Boots,Черевики шукача пригод
DC/Text_DesignData_Item_Item_AdventurerBoots_5001,Adventurer Boots,Черевики Adventurer
DC/Text_DesignData_Item_Item_AdventurerBoots_6001,Adventurer Boots,Черевики Adventurer
DC/Text_DesignData_Item_Item_AdventurerBoots_7001,Adventurer Boots,Черевики авантюриста
DC/Text_DesignData_Item_Item_AdventurerBoots_RS,Rubysilver Adventurer Boots,Черевики Adventurer Rubysilver
DC/Text_DesignData_Item_Item_AdventurerCloak_1001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_2001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_3001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_4001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_5001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_6001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerCloak_7001,Adventurer Cloak,Плащ шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_1001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_2001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_3001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_4001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_5001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_6001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_AdventurerTunic_7001,Adventurer Tunic,Туніка шукача пригод
DC/Text_DesignData_Item_Item_Ale_1001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_2001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_3001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_4001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_5001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_6001,Ale,Ель
DC/Text_DesignData_Item_Item_Ale_7001,Ale,Ель
DC/Text_DesignData_Item_Item_Armet_1001,Armet,Армет
DC/Text_DesignData_Item_Item_Armet_2001,Armet,Армет
DC/Text_DesignData_Item_Item_Armet_3001,Armet,Армет
DC/Text_DesignData_Item_Item_Armet_4001,Armet,Армет
DC/Text_DesignData_Item_Item_Armet_5001,Armet,Армет
