key,source,target
/C3B3E04240B83F84B41038A886C29485,Quest Chapter Name,Назва розділу квесту
/99D54FE149E84D90828CE8B83E0607D9,QuestTitle,Назва квесту
/AF404B834F4ABC0749612D840A1B57F2,QuestTitle,Назва квесту
DC/Text_Code_DCQuestDataAsset_Condition_DungeonType_All,Any,Будь-яка
DC/Text_Code_DCQuestDataAsset_Condition_RarityType_All,Any,Будь-яка
DC/Text_Code_DCQuestDataAsset_Condition_HealthLess_Format,- At a health remaining less than {0}%,- При залишку здоров'я менше {0}%
DC/Text_Code_DCQuestDataAsset_Condition_HealthGreater_Format,- At a health remaining more than {0}%,- При залишку здоров'я більше ніж {0}%
DC/Text_Code_DCQuestDataAsset_Condition_DungeonType_Format,- Dungeon Type : {0},- Тип підземелля : {0}
DC/Text_Code_DCQuestDataAsset_Condition_SingleSession,- During one session,- Протягом однієї сесії
DC/Text_Code_DCQuestDataAsset_Condition_MustEscape,- Must escape,- Потрібно втекти
DC/Text_Code_DCQuestDataAsset_Condition_ConsecutiveEscape,- Must escape consecutively,- Потрібно втекти послідовно
DC/Text_Code_DCQuestDataAsset_Condition_NoDamage,- Without taking any damage,- Не отримуючи жодної шкоди
DC/Text_Code_DCQuestDataAsset_Condition_ItemRarityType,- Item Rarity : {0},- Рідкість предмета : {0}
DC/Text_QuestLog_Accept,Accept,Прийняти
DC/Text_QuestLog_Complete,Complete,Завершити
DC/Text_DesignData_QuestChapter_Name_Alchemist_01,More Important Matters,Важливіші справи
DC/Text_DesignData_QuestChapter_Name_Alchemist_02,The Darkness Within,Темрява всередині
DC/Text_DesignData_QuestChapter_Name_Alchemist_03,Other Solutions,Інші рішення
DC/Text_DesignData_QuestChapter_Name_Alchemist_04,Not For The Weak,Не для слабких
DC/Text_DesignData_QuestChapter_Name_Armourer_01,Echoes Of Regret,Відлуння жалю
DC/Text_DesignData_QuestChapter_Name_Armourer_02,Guiding Light,Направляюче світло
DC/Text_DesignData_QuestChapter_Name_Armourer_03,Harsh Truth,Сувора правда
DC/Text_DesignData_QuestChapter_Name_FortuneTeller_01,By The Stars,Від зірок
DC/Text_DesignData_QuestChapter_Name_FortuneTeller_02,Guided Path,"Шлях, що веде до мети"
DC/Text_DesignData_QuestChapter_Name_FortuneTeller_03,Dark Omens,Темні знамення
DC/Text_DesignData_QuestChapter_Name_FortuneTeller_04,Knowing The Unknown,Пізнання Невідомого
DC/Text_DesignData_QuestChapter_Name_FortuneTeller_05,The Alignment,Вирівнювання
DC/Text_DesignData_QuestChapter_Name_GoblinMerchant_01,Everyone's Favorite Goblin,Улюблений гоблін
DC/Text_DesignData_QuestChapter_Name_GoblinMerchant_02,Tricks And Treasures,Трюки та скарби
DC/Text_DesignData_QuestChapter_Name_GoblinMerchant_03,Favorite Soft Skin,Улюблена м'яка шкіра
DC/Text_DesignData_QuestChapter_Name_GoblinMerchant_04,Greater Threats,Великі загрози
DC/Text_DesignData_QuestChapter_Name_GoblinMerchant_Final_01,Lucky Coin,Щаслива монета
DC/Text_DesignData_QuestChapter_Name_Leathersmith_01,Finding Hope,Віднайдення надії
DC/Text_DesignData_QuestChapter_Name_Leathersmith_02,Learning The Truth,Дізнатися правду
DC/Text_DesignData_QuestChapter_Name_Leathersmith_03,It’s All In The Details,Все в деталях
DC/Text_DesignData_QuestChapter_Name_Surgeon_01,Family Medicine,Сімейна медицина
DC/Text_DesignData_QuestChapter_Name_Surgeon_02,Pending Diagnosis,В очікуванні діагнозу
DC/Text_DesignData_QuestChapter_Name_Surgeon_03,Methods and Madness,Методи і божевілля
DC/Text_DesignData_QuestChapter_Name_Surgeon_04,Beyond The Threshold Of Darkness,За порогом темряви
DC/Text_DesignData_QuestChapter_Name_Tailor_01,Keep It Professional,Тримайся професійно
DC/Text_DesignData_QuestChapter_Name_Tailor_02,Somewhat Impressed,Дещо вражений
DC/Text_DesignData_QuestChapter_Name_Tailor_03,Incognito,Інкогніто
DC/Text_DesignData_QuestChapter_Name_TavernMaster_01,Humble Beginnings,Скромні початки
DC/Text_DesignData_QuestChapter_Name_TavernMaster_02,A Larger Picture,Велика картина
DC/Text_DesignData_QuestChapter_Name_TavernMaster_03,Frosty Adventures,Морозні пригоди
DC/Text_DesignData_QuestChapter_Name_TavernMaster_04,Investigating Darkness,Досліджуючи темряву
DC/Text_DesignData_QuestChapter_Name_TavernMaster_05,Reign Of Terror,Царство терору
DC/Text_DesignData_QuestChapter_Name_TavernMaster_06,Into The Abyss,У безодню
DC/Text_DesignData_QuestChapter_Name_TavernMaster_Final_01,Honor And Ale,Честь і пиво
DC/Text_DesignData_QuestChapter_Name_TheCollector_01,Frozen Harvest,Заморожений врожай
DC/Text_DesignData_QuestChapter_Name_TheCollector_02,Cold Collections,Холодні колекції
DC/Text_DesignData_QuestChapter_Name_TheCollector_03,Frozen Assets,Заморожені активи
DC/Text_DesignData_QuestChapter_Name_TheCollector_04,Seeking Secrets,У пошуках таємниць
DC/Text_DesignData_QuestChapter_Name_TheCollector_05,Icy Oddities,Крижані дивацтва
DC/Text_DesignData_QuestChapter_Name_TheCollector_Final_01,Frozen Trials,Заморожені випробування
DC/Text_DesignData_QuestChapter_Name_Treasurer_01,Hidden Riches,Приховані багатства
DC/Text_DesignData_QuestChapter_Name_Treasurer_02,Into The Unknown,Назустріч невідомому
DC/Text_DesignData_QuestChapter_Name_Treasurer_03,Future Investments,Майбутні інвестиції
DC/Text_DesignData_QuestChapter_Name_Treasurer_04,Beyond Prepared,Поза межами підготовки
DC/Text_DesignData_QuestChapter_Name_Treasurer_05,Signs Within,Знаки всередині
DC/Text_DesignData_QuestChapter_Name_Weaponsmith_01,Lessons Learned,Вивчені уроки
DC/Text_DesignData_QuestChapter_Name_Weaponsmith_02,Remember Your Heritage,Пам'ятайте про свою спадщину
DC/Text_DesignData_QuestChapter_Name_Weaponsmith_03,Iron In Blood,Залізо в крові
DC/Text_DesignData_QuestChapter_Name_Woodsman_01,Igniting Secret Fires,Розпалювання таємних вогнищ
DC/Text_DesignData_QuestChapter_Name_Woodsman_02,Safe Keeping,Безпечне зберігання
DC/Text_DesignData_QuestChapter_Name_Woodsman_03,Keeping Faith,Зберігаючи віру
DC/Text_DesignData_QuestChapter_Name_Woodsman_04,Lost Tribe,Загублене плем'я
DC/Text_DesignData_Quest_Alchemist_Complete_01,"Ah, these will do nicely. I left traditional medicine, much to my brother's dismay. Hopefully he will open his eyes and mind to the power of alchemy.","А, ці підійдуть. Я залишив традиційну медицину, на превеликий жаль мого брата. Сподіваюся, він відкриє очі і розум на силу алхімії."
DC/Text_DesignData_Quest_Alchemist_Complete_02,"Thanks to your contributions, I can delve deeper into understanding the unique properties of creatures in cold climates. Imagine if we could unlock the secrets of nature and forge new potions of remarkable potency.","Завдяки вашим внескам я можу глибше зрозуміти унікальні властивості істот, що живуть у холодному кліматі. Уявіть, якби ми змогли розкрити таємниці природи і викувати нові зілля з надзвичайною силою."
DC/Text_DesignData_Quest_Alchemist_Complete_03,"With the information we've gathered, we can now delve deeper into unlocking these hidden secrets.",Завдяки зібраній нами інформації ми можемо заглибитися в розкриття цих прихованих таємниць.
DC/Text_DesignData_Quest_Alchemist_Complete_04,"As we continue to dig deeper, hopefully we uncover more secrets of the horrific cataclysmic event that took place here.","Продовжуючи копати глибше, сподіваємось, ми відкриємо більше таємниць жахливого катаклізму, що стався тут."
DC/Text_DesignData_Quest_Alchemist_Complete_05,"Oh my my, this is fascinating, albeit horrific in its implications. The observations you've made during the transition of the magically inclined individuals shed new light on the nature of the darkness. More research must be done, but to proceed, I will need a few specific items.","Боже мій, це захоплююче, хоча і жахливо за своїми наслідками. Спостереження, які ви зробили під час переходу схильних до магії людей, проливають нове світло на природу темряви. Потрібно провести більше досліджень, але для цього мені знадобиться кілька конкретних речей."
DC/Text_DesignData_Quest_Alchemist_Complete_06,"Marvelous! The components you've gathered are essential for my next concoction. With your help, we're about to dive deeper into the true power of alchemy. Now off with you so I can focus.","Чудово! Компоненти, які ви зібрали, необхідні для мого наступного зілля. З твоєю допомогою ми зануримося у справжню силу алхімії. А тепер ідіть, щоб я міг зосередитися."
DC/Text_DesignData_Quest_Alchemist_Complete_07,"Through the use of mystical elixirs, you have triumphed over adversity and emerged victorious, remember the power of potions.","Завдяки використанню містичних еліксирів ви перемагали негаразди і виходили переможцями, пам'ятайте про силу зілля."
DC/Text_DesignData_Quest_Alchemist_Complete_08,"Looks like you've been busy swatting away those pesky sky vermin! Quite the nuisance, aren't they.","Схоже, ви були зайняті, відганяючи цих набридливих небесних паразитів! Досить неприємні, чи не так?"
DC/Text_DesignData_Quest_Alchemist_Complete_09,"It seems the rumors were true after all. Though the Ghost King may not be vanquished for good, we've certainly bought ourselves some time. I'll delve into my research and see if we can't find a way to make his demise more... permanent.","Здається, чутки були правдиві. Хоча Короля-Привида, можливо, і не перемогли назавжди, ми, безумовно, виграли собі трохи часу. Я заглиблюся в свої дослідження і подивлюся, чи зможемо ми знайти спосіб зробити його смерть більш... тривалою."
DC/Text_DesignData_Quest_Alchemist_Complete_10,"The chests have hopefully yielded the gear necessary for your upcoming trials. But before you face the beasts of the caves, there's one more challenge to overcome.","Сподіваюсь, у скринях ви знайшли необхідне спорядження для ваших майбутніх випробувань. Але перш ніж ви зустрінетеся з печерними чудовиськами, вам потрібно подолати ще одне випробування."
DC/Text_DesignData_Quest_Alchemist_Complete_11,"In the damp recesses of the Goblin Caves, you've emerged victorious once more. Keep your spirit ablaze, for greater challenges lie ahead.","У сирих підземеллях Гоблінських печер ви знову вийшли переможцем. Не втрачайте бадьорості духу, адже попереду вас чекають ще більші випробування."
DC/Text_DesignData_Quest_Alchemist_Complete_12,"A triumph beyond measure! This calls for a celebration! I've brewed a special concoction to mark your victory – though I must warn you, it packs quite the punch!","Тріумф безмірний! Це треба відсвяткувати! Я зварив особливий напій, щоб відсвяткувати твою перемогу - хоча мушу попередити, він дуже міцний!"
DC/Text_DesignData_Quest_Alchemist_Greeting_01,"Can you believe my brother, the Surgeon, still clings to our father's legacy of medicine? Once I thought the same, but alchemy showed me a different path. Help me gather a variety of potions to prove the power of my art.","Ти можеш повірити, що мій брат, Хірург, все ще тримається за медичну спадщину нашого батька? Колись і я думав так само, але алхімія показала мені інший шлях. Допоможи мені зібрати різноманітні зілля, щоб довести силу мого мистецтва."
DC/Text_DesignData_Quest_Alchemist_Greeting_02,"Ah, good to see you again. It seems adventurers are increasingly drawn to the cold and perilous zones nearby. As an alchemist, I see this as a golden opportunity to study the native creatures of these regions. There may be valuable insights we can glean for new alchemical concoctions.","Радий тебе знову бачити. Здається, шукачів пригод все більше тягне до холодних і небезпечних зон поблизу. Як алхімік, я бачу в цьому чудову нагоду вивчити місцевих істот цих регіонів. Можливо, ми отримаємо цінну інформацію для нових алхімічних рецептів."
DC/Text_DesignData_Quest_Alchemist_Greeting_03,"Legend has it, fierce wolves guard a secret that could unveil mysteries long buried in time. I won't reveal too much just yet, but I'm counting on you. Time's of the essence, so let's move quickly.","Легенда свідчить, що люті вовки охороняють секрет, який може відкрити таємниці, давно поховані в часі. Поки що я не буду розкривати багато, але я розраховую на вас. Час не стоїть на місці, тож покваптеся."
DC/Text_DesignData_Quest_Alchemist_Greeting_04,"It's no secret that darkness shrouds the halls of The Forgotten Castle, and before you can find answers on how to purge it, you must first uncover what caused it. Venture forth and pay close attention, for every clue you gather could bring us closer to unraveling the mysteries of the darkness within.","Ні для кого не секрет, що зали Забутого Замку огортає темрява, і перш ніж ви зможете знайти відповіді на питання, як її очистити, ви повинні спочатку з'ясувати, що стало її причиною. Вирушайте вперед і будьте уважні, адже кожна підказка, яку ви знайдете, може наблизити нас до розгадки таємниць темряви всередині замку."
DC/Text_DesignData_Quest_Alchemist_Greeting_05,"While pondering on our previous quests, it occurred to me that the darkness within the castle may possess a sentience of its own. To further our research, we must observe how it interacts with those who wield magic. Your task is twofold: briefly study the magically inclined individuals within the castle while they are still alive, and then assist them on their journey to the other side. Pay close attention during their transition and see if you notice any peculiarities or anomalies.","Розмірковуючи над нашими попередніми квестами, мені спало на думку, що темрява всередині замку може мати власну свідомість. Щоб продовжити наші дослідження, ми повинні спостерігати, як вона взаємодіє з тими, хто володіє магією. Перед вами стоїть подвійне завдання: коротко вивчити схильних до магії людей у замку, поки вони ще живі, а потім допомогти їм у їхній подорожі на інший бік. Будьте уважними під час їхнього переходу і подивіться, чи не помітите ви якихось особливостей або аномалій."
DC/Text_DesignData_Quest_Alchemist_Greeting_06,"Alchemy requires more than common herbs and vials. I need items with... unique properties. Don't worry, they're safe. Though my brother would probably disagree.","Для алхімії потрібно більше, ніж звичайні трави та флакони. Мені потрібні предмети з... унікальними властивостями. Не хвилюйся, вони безпечні. Хоча мій брат, мабуть, не погодився б."
DC/Text_DesignData_Quest_Alchemist_Greeting_07,"As family ties unraveled, the quiet companionship of my vials remained steadfast. Take them now, as they have been my faithful companions through solitude's trials.","Коли родинні зв'язки розплуталися, тихий супровід моїх ампул залишився непорушним. Візьміть їх зараз, адже вони були моїми вірними супутниками у випробуваннях самотності."
DC/Text_DesignData_Quest_Alchemist_Greeting_08,"Amidst the gathering darkness, the spectral menace of winged skulls approaches. Their presence heralds doom, but your courage can defy even the darkest of omens.","Серед темряви, що згущується, наближається примарна загроза крилатих черепів. Їх присутність віщує загибель, але ваша відвага може кинути виклик навіть найтемнішим знаменням."
DC/Text_DesignData_Quest_Alchemist_Greeting_09,"The castle's depths hold great peril, for within lurks the Ghost King and his demonic minions. Arm yourself well, for the battle ahead will be fierce and unforgiving.","Глибини замку таять у собі велику небезпеку, адже там ховається Король-привид і його демонічні поплічники. Озбройтеся як слід, бо битва попереду буде жорстокою і невблаганною."
