key,source,target
DC/Text_UI_LeaderboardSheet_RankGuideDesc,"-  Earn ‘Adventure Points’ by exploring the High-Roller dungeons.

-  Accumulate ‘Adventure Points’ to earn a ‘Seasonal Title’​.

-  Rewards are given at the end of the season based on your final title.

-  Your in-game name and border will reflect your seasonal title.​
​
-  An Adventure Point entry fee is subtracted from your total
     based on your current Title each time you enter a dungeon.

<ImportantPopupText>-  Earned rewards are given to the characters in the following season.</>
<ImportantPopupText>     Please do not delete your character until the reward is redeemed.</>
<ImportantPopupText>     If a character is deleted prior to granting of the reward, the earned reward cannot be claimed.</>","- Заробляйте ""очки пригод"", досліджуючи підземелля High-Roller.

-  Накопичуйте ""очки пригод"", щоб отримати ""сезонний титул"".

-  Нагороди надаються в кінці сезону на основі вашого фінального титулу.

-  Ваше ігрове ім'я та рамка відображатимуть ваш сезонний титул.

-  Плата за вхід в підземелля віднімається від вашої загальної суми
     на основі поточного титулу кожного разу, коли ви заходите в підземелля.

<ImportantPopupText>-  Earned rewards are given to the characters in the following season.</>
<ImportantPopupText>     Please do not delete your character until the reward is redeemed.</>
<ImportantPopupText>     If a character is deleted prior to granting of the reward, the earned reward cannot be claimed.</>"
DC/Text_UI_WB_Arena_RoundPhase_RoundEnd,00:00,
DC/Text_UI_WB_SellItemSlot_ea,1,
DC/Text_UI_WB_Credit_Title,CREDIT,КРЕДИТ
DC/Text_UI_WB_Menu_Credit,CREDIT,АВТОРИ
DC/Text_UI_WB_GameProgressBar_Circle_Cancel,Cancel,Скасувати
DC/Text_UI_WB_RecruitChannel_CloseInspectingInventory,Close,Закрити
DC/Text_UI_WB_CreatePlayerIDPopup_Desc,Create a Account Name,Створити ім'я облікового запису
DC/Text_UI_WB_DungeonResult_KillerSlot_DamageDealt,Damage dealt,Завдано шкоди
DC/Text_UI_WB_ShopMain_EnterCode,Enter Code,Введіть код
DC/Text_UI_WB_CreatePlayerIDPopup_Check_01,"The Account Name is used for system management
including features like the friend system.
Enter an Account Name to check for eligibility.","Ім'я облікового запису використовується для керування системою
включаючи такі функції, як дружня система.
Введіть ім'я облікового запису, щоб перевірити його придатність."
DC/Text_UI_WB_MarketplacePurchaseDealTable_ExpiresIn,Expires in,Закінчується в
DC/Text_UI_WB_RecruitChannel_Title,Gathering Hall,Зал для зборів
DC/Text_UI_WB_GiftPopup_Title,Gifts,Подарунки
DC/Text_UI_WB_DungeonSlot_GoblinCave_HighRoller_Difficulty,High-Roller,Високорослий
DC/Text_UI_WB_RecruitChannelList_Desc,"I'll do my best to help you find the perfect dungeon travelling companions. Check out the various gathering halls to find fellow adventurers that share your region.

A word of advice, dishonorable scoundrels have the mark of crimson upon their name.","Я зроблю все можливе, щоб допомогти вам знайти ідеальних компаньйонів для мандрівки підземеллям. Перевірте різні зали для зборів, щоб знайти побратимів, які поділяють ваш регіон.

Порада: безчесні негідники мають багряну мітку на своєму імені."
DC/Text_UI_WB_DungeonResult_KillerSlot_ID,ID,ІДЕНТИФІКАТОР
DC/Text_UI_WB_UnEquipmentMusicList_Musics,Musics,Музика
DC/Text_UI_WB_SelectMyStatus_Title,My Status,Мій статус
DC/Text_UI_WB_DungeonSlot_GoblinCave_Normal_Difficulty,Normal,Нормально
DC/Text_UI_WB_RecruitChannelList_Title,Page Boy,Хлопчик на побігеньках
DC/Text_UI_WB_ReportPlayerResultPopup_PermanentBanList,Permanent Ban List,Постійний список банів
DC/Text_UI_WB_GameMusicPlayBar_Bad,Playing crappy music,Грає погану музику
DC/Text_UI_WB_GameMusicPlayBar_Perfect,Playing great music,Відтворюю чудову музику
DC/Text_UI_WB_GameMusicPlayBar_Good,Playing music anyway,Все одно відтворює музику
DC/Text_UI_WB_GiftCodePopup_EnterCodeAnnounce,Please enter code :,"Будь ласка, введіть код :"
DC/Text_UI_WB_MarketplaceSell_MasterText_Sold,"Please transfer the items to your inventory or stash.
The Items above will be destroyed in : {0}","Будь ласка, перенесіть предмети до вашого інвентарю або тайника.
Предмети, вказані вище, будуть знищені через : {0}"
DC/Text_UI_WB_LeaderboardDetailPopup_Title,Rank System & AP Entrance Fees,Система рангів та вступні внески до AP
DC/Text_UI_WB_Deathcam_UserReportButton_Title,Report a user,Повідомити про користувача
DC/Text_UI_WB_LeaderboardDetailPopup_TotalAP,Required Total AP,Необхідний загальний AP
DC/Text_UI_WB_CharacterSelectMain_PurchaseDesc,Requires a class unlock,Потребує розблокування класу
DC/Text_UI_WB_ShopPopup_SelectCurrency_Title,What would you like to unlock with?,Чим ви хочете розблокувати?
DC/Text_UI_WB_TradeChannelList_ServerRegion,Server Region,Регіон сервера
DC/Text_UI_WB_ClassMusicEquippedGroup_Skill_I,Skill I,Уміння I
DC/Text_UI_WB_ClassMusicEquippedGroup_Skill_II,Skill II,Уміння II
DC/Text_UI_WB_KarmaReport_Description_04,"<KarmaDesc>If you do not have any Karma Reports, it will regenerate after using</> <KarmaRating>{0}</> <KarmaDesc>portals.</>","<KarmaDesc>Якщо у вас немає звітів про карму, вона відновиться після використання</> <KarmaRating>{0}</> <KarmaDesc>порталів.</>"
DC/Text_UI_WB_TabButton_LeaderBoard_All,All,Всі
DC/Text_UI_WB_TabButton_LeaderBoard_Barbarian,Barbarian,Варвар
DC/Text_UI_WB_TabButton_LeaderBoard_Bard,Bard,Бард
DC/Text_UI_v2_WB_MerchantPage_Buy,Buy,Купити
DC/Text_UI_WB_Lobby_Class,Class,Клас
